-nan nan
16.2469 127.257
10.6943 99.3152
11.1273 96.2736
8.54883 80.8277
4.67192 54.1573
8.48711 80.3319
20.9727 152.873
10.0688 89.5846
10.3994 94.6019
8.02365 77.2284
7.5813 76.8234
12.0663 100.167
13.7727 114.675
11.2818 95.6681
19.481 148.311
13.2541 109.527
14.2488 119.267
14.1509 118.681
28.534 196.394
39.4893 272.101
15.7593 129.257
8.32372 80.5948
9.41138 84.7722
8.7584 83.385
75.1945 496.429
21.2525 168.431
11.7673 100.414
84.9778 562.174
15.3483 120.197
19.548 159.185
5.97385 64.9761
32.1976 217.174
13.8811 118.032
13.9264 112.25
17.2271 150.608
11.6777 99.1903
12.6282 108.205
16.591 129.55
14.1842 113.737
7.37184 73.1835
6.89558 71.0288
7.11804 72.413
11.3966 97.5332
10.3118 98.8592
16.3276 125.84
7.29289 71.4339
15.2121 128.867
29.288 205.729
37.3855 246.56
23.9085 171.902
12.896 105.978
19.8655 150.697
7.05232 70.9504
11.8541 101.29
49.5881 319.141
12.3437 108.01
12.6647 106.025
90.9595 546.778
18.3605 152.213
18.743 152.742
18.0861 140.357
12.8164 111.422
20.8149 153.61
12.268 112.121
20.4827 156.19
34.7303 249.352
70.7257 433.247
14.4665 122.889
18.4991 138.425
17.2396 131.871
105.543 634.877
13.698 120.02
28.4725 211.153
9.04813 84.2362
13.2861 109.789
6.23212 65.0672
14.9203 117.354
7.98107 80.3831
16.2292 126.856
13.0147 109.035
11.1021 95.5679
11.1367 97.8413
11.6569 102.03
14.0215 116.28
19.122 156.759
7.95541 77.1774
20.8854 172.765
48.4489 304.544
45.5518 287.919
20.6515 153.249
15.4025 121.52
13.0213 108.043
6.43129 66.1584
10.9119 101.518
15.5902 133.119
8.03551 76.6681
42.1581 288.1
8.75686 85.8857
34.5091 225.919
9.2333 86.0117
10.4532 92.6399
24.3846 170.933
18.9283 147.315
13.7034 113.166
18.0952 136.766
50.7766 311.589
14.2866 116.256
7.95757 78.8223
10.2944 90.9381
12.4151 103.24
10.1407 89.968
11.0215 95.0406
10.0066 94.9833
10.316 95.1558
11.6646 99.1162
18.6634 146.457
8.96668 82.8666
28.3956 196.414
23.2943 178.782
30.4119 207.306
8.07039 78.1102
6.30361 65.4493
30.7299 210.011
7.39996 74.3917
16.7581 126.758
26.6537 179.384
16.2741 123.098
11.5875 99.8435
11.5275 107.351
12.2705 102.33
9.06699 83.6295
14.5812 117.546
17.1445 131.977
22.0097 163.347
7.66311 76.5093
5.85752 63.1231
11.2359 97.7636
19.1373 138.939
11.7152 105.057
15.2239 123.581
20.3585 148.314
5.03246 57.6317
10.0033 89.7804
8.6589 81.5762
6.08374 64.5486
12.6801 107.708
7.49021 72.9402
19.052 153.378
8.36711 79.2126
16.3549 132.769
25.2038 190.107
12.4987 106.372
11.2908 104.317
5.83534 63.1564
26.2821 180.591
10.819 92.8165
14.3402 112.203
15.3823 128.706
9.97472 91.3246
9.96495 89.48
18.3057 134.634
9.0597 87.7565
77.5436 477.429
44.7673 319.112
31.701 211.636
7.37204 73.3076
10.8402 98.0763
21.8106 158.595
6.72849 68.8744
10.1908 89.4397
9.44733 86.7054
27.1055 194.906
7.29214 72.5283
9.95992 89.2851
31.7017 215.243
5.07738 57.2875
60.9409 393.835
15.0193 129.731
6.36117 65.7734
8.90713 83.7681
5.34587 59.3115
10.4782 89.6297
5.31602 58.8146
10.8348 93.3557
20.0449 151.256
14.4906 128.422
8.17494 80.345
5.8557 63.7066
42.0459 264.943
6.16419 63.8744
18.3989 151.579
168.763 1047.51
15.1073 120.339
11.868 109.762
10.8743 93.7838
14.5799 116.256
33.9482 234.2
14.7748 118.305
18.2022 139.151
36.4168 247.757
5.32267 58.3646
17.2265 151.815
9.8826 89.0383
26.3086 180.737
16.4533 130.177
14.5792 116.697
46.9611 324.462
5.8314 62.1586
8.44905 78.2977
13.5977 123.213
15.5407 125.511
16.5318 123.578
6.45929 65.8593
15.8803 125.803
31.0593 220.018
7.53244 75.033
4.89287 56.8051
13.4752 112.86
8.10997 78.0823
20.0867 148.638
4.60273 54.8982
12.0547 107.742
5.49292 62.0803
22.342 168.608
8.33269 81.4481
10.3144 93.166
11.962 101.35
18.3924 135.386
23.9509 167.355
13.2963 112.869
7.23274 71.8108
9.24788 85.7477
8.71284 80.4928
13.8391 115.834
5.47554 61.1642
46.5882 322.109
22.4259 165.915
18.0973 145.692
11.1092 94.5024
6.21403 66.0872
16.4835 129.373
23.9353 183.558
6.57012 69.6475
